name,is_active,is_accepting,recruiting_cycle,membership_process,type,email,website,picture_url,mission
American Indian Science and Engineering Society,FALSE,FALSE,Open,Open Membership,Academic and Pre-professional,aises-request@mit.edu,https://mit.edu/aises/www/,https://mitclubs.s3.us-east-2.amazonaws.com/aises.png,"AISES is a national, nonprofit organization focused on substantially increasing the representation of American Indians, Alaska Natives, Native Hawaiians, Pacific Islanders, First Nations and other indigenous peoples of North America in science, technology, engineering and math (STEM) studies and careers."
American Institute of Chemical Engineers Student Chapter MIT,FALSE,FALSE,Open,Open Membership,Academic and Pre-professional,,https://aiche.scripts.mit.edu/index.html,,"Our mission is to support, benefit, and advocate for the chemical engineering undergraduate community at MIT."
American Nuclear Society,FALSE,FALSE,Unknown,Unknown,Academic and Pre-professional,,http://ans.mit.edu/,,The purpose of the MIT Student Section of the American Nuclear Society (MIT ANS) is to promote the advancement of nuclear science and engineering as well as related disciplines.
ASHRAE MIT Student Chapter,FALSE,FALSE,Unknown,Unknown,Academic and Pre-professional,,https://web.mit.edu/ashrae/www/index.html,,"The purpose of the ASHRAE MIT Student Chapter is exclusively scientific and educational and includes, but is not limited to :
a) The advancement of the sciences of heating, refrigerating and air conditioning engineering and related sciences;
b) The continuing education of the members and other interested persons in said sciences, through lectures, demonstrations, conferences, and publications;
c) The rendition of career guidance to students of the sciences; and
d) The encouragement of sound scientific research."
Asian Club MIT,FALSE,FALSE,Unknown,Unknown,Academic and Pre-professional,asiancareerfair@mit.edu,https://asianclub.mit.edu/,,"MIT Asian Club and MIT Career Fair (ACF) is an official recruiting event at MIT in spring that aims to establish interactive and efficient conversations between Asia based employers and young talents in the U.S. We recognize the value of a thriving regional market in Asia, and students’ growing demand for direct involvement with professional development there. Using MIT as a platform to connect leaders from wide array of industries with ambitious students at MIT, Harvard, and other U.S. universities in the Northeastern area, we hope that the MIT Asian Club will be a successful platform that propels the professional growth of the students and the future development of participating companies."
Association of Computational Science and Engineering Students,FALSE,FALSE,Unknown,Unknown,Academic and Pre-professional,,http://acses.mit.edu/,,"The mission of ACSES is to: facilitate social bonding among students in CSE and other computation-related programs, offer a platform for students to gather and discuss ongoing research and popular computational science and engineering topics, and to promote the CSE programs to more students and scholars who are interested in computational science and engineering."
Biology Undergraduate Students Association,TRUE,TRUE,Open,Open Membership,Academic and Pre-professional,,https://busa.mit.edu/,,"The purpose of this organization is to further the following objectives:
To bring together MIT undergraduates who are interested in learning about and discussing biology.
To connect MIT undergraduates interested in biology with faculty in the biology department.
To conduct outreach in the community by sharing the biology knowledge of MIT undergraduates through teaching programs at local schools and other community organizations.
To represent the biology department at events such as CPW, Orientation, and Activities Midway."
BioMakers Group,FALSE,FALSE,Unknown,Unknown,Academic and Pre-professional,biomakers-exec@mit.edu,https://engage.mit.edu/bmg/home/,,"The BioMakers Group (hereafter referred to as the “BMG”) was founded to support the burgeoning community of students committed to utilizing biology and biotechnology to independently build, make, and innovate. This group is committed to supporting “maker-culture” within the biological and chemical sciences, and has established the Huang-Hobbs BioMakerSpace (HHBMS) on campus."
Biotechnology Group MIT,TRUE,FALSE,"Fall Semester, Spring Semester",Application Required,Academic and Pre-professional,,https://biotech.mit.edu/,,"The MIT Biotechnology Group aims to provide MIT community members from all backgrounds with the knowledge and resources to become future leaders in biotech. We strive to cultivate innovation, nurture collaborative relationships with industry leaders, and increase diversity within the Boston-Cambridge life sciences ecosystem."
Bitcoin Club MIT,FALSE,FALSE,Unknown,Unknown,Academic and Pre-professional,,https://bitcoin.mit.edu/,,"The purpose of the MIT Bitcoin Club is to provide a forum where Bitcoin-related ideas, projects, programs, events, and businesses can be studied, discussed, and developed. Through club activities, we seek to increase awareness and use of Bitcoin within and beyond the MIT community."
China Innovation and Entrepreneurship Forum,FALSE,FALSE,Unknown,Unknown,Academic and Pre-professional,info@mitchief.org,https://www.mitchief.org/,,"The ""MIT China Innovation and Entrepreneurship Forum (MIT-CHIEF)"" was established by Chinese international students at MIT and dates back to 2011, making it the longest-running Chinese innovation and entrepreneurship forum organized by college students in North America. Every year, the forum invites top scientists, entrepreneurs, and investors to discuss the challenges, trends, and outlooks faced during the processes of technological innovation and commercialization."
Civil and Environmental Engineering Students Association,TRUE,TRUE,Open,Open Membership,Academic and Pre-professional,ceesa-exec@mit.edu,https://cee.mit.edu/education/undergraduate/undergraduate-student-life/,,"The American Society of Civil Engineers (ASCE) Student Chapter at MIT, known as CEESA (Civil and Environmental Engineering Student Association), strives to uphold the values of excellence in academic and professional environments. Through service projects, educational programs, and social functions, CEESA aims to foster a vibrant and supportive community that enables every student to reach his or her highest potential."
